s,a,r,sp,episode_index
150303,5,0,150303,0
150303,8,0,150303,0
150303,6,0,150303,0
150303,1,0,150302,0
150302,9,0,150302,0
150302,5,0,150302,0
150302,5,0,150302,0
150302,6,0,150302,0
150302,5,0,150302,0
150302,9,0,150302,0
150302,4,0,150402,0
150402,8,0,150402,0
150402,1,0,150403,0
150403,1,0,150404,0
150404,2,0,150403,0
150403,8,0,150403,0
150403,6,0,150403,0
150403,8,0,150403,0
150403,7,0,150403,0
150403,2,0,150402,0
150402,5,0,150402,0
150402,9,0,150402,0
150402,9,0,150402,0
150402,6,0,150402,0
150402,8,0,150402,0
150402,7,0,150402,0
150402,4,0,151002,0
151002,7,0,151002,0
151002,1,0,151003,0
151003,2,0,151002,0
151002,1,0,151003,0
151003,3,0,150403,0
150403,8,0,150403,0
150403,7,0,150403,0
150403,8,0,150403,0
150403,5,0,150403,0
150403,1,0,150404,0
150404,5,0,150404,0
150404,5,0,150404,0
150404,1,-5,150410,0
150410,1,0,151010,0
151010,9,0,151010,0
151010,6,0,151010,0
151010,9,0,151010,0
151010,8,0,151010,0
151010,2,0,151004,0
151004,2,0,151003,0
151003,4,0,151002,0
151002,6,0,151002,0
151002,1,0,151003,0
151003,5,0,151003,0
151003,1,0,151004,0
151004,2,0,151003,0
151003,8,0,151003,0
151003,1,0,151004,0
151004,8,0,151004,0
151004,2,0,151003,0
151003,1,0,151004,0
151004,3,0,151104,0
151104,9,0,151104,0
151104,9,0,151104,0
151104,2,0,151103,0
151103,8,0,151103,0
151103,8,0,151103,0
151103,9,0,151103,0
151103,6,0,151103,0
151103,4,10,151203,0
151203,4,0,151204,0
151204,8,0,151204,0
151204,4,0,151304,0
151304,4,0,151404,0
151404,3,0,151410,0
151410,7,0,151410,0
151410,9,0,151410,0
151410,3,0,151310,0
151310,9,0,151310,0
151310,7,0,151310,0
151310,4,0,151410,0
151410,2,0,151310,0
151310,9,0,151310,0
151310,4,0,151410,0
151410,3,0,151310,0
151310,6,0,151310,0
151310,6,0,151310,0
151310,3,0,151210,0
151210,8,0,151210,0
151210,8,0,151210,0
151210,8,0,151210,0
151210,8,0,151210,0
151210,9,0,151210,0
151210,1,0,151310,0
151310,8,0,151310,0
151310,6,0,151310,0
151310,1,0,151311,0
151311,6,0,151311,0
151311,2,0,151310,0
151310,6,0,151310,0
151310,6,0,151310,0
151310,5,0,151310,0
151310,2,0,151304,0
151304,4,0,151404,0
151404,4,0,152004,0
152004,5,0,152004,0
152004,9,0,152004,0
152004,3,0,151404,0
151404,5,0,151404,0
151404,7,0,151404,0
151404,4,0,152004,0
152004,8,0,152004,0
152004,6,0,152004,0
152004,7,0,152004,0
152004,2,0,151404,0
151404,6,0,151404,0
151404,7,0,151404,0
151404,1,0,151410,0
151410,7,0,151410,0
151410,6,0,151410,0
151410,8,0,151410,0
151410,1,0,151411,0
151411,6,0,151411,0
151411,1,0,151412,0
151412,1,0,151413,0
151413,8,0,151413,0
151413,9,0,151413,0
151413,1,0,151414,0
151414,5,0,151414,0
151414,6,0,151414,0
151414,6,0,151414,0
151414,9,0,151414,0
151414,8,0,151414,0
151414,6,0,151414,0
151414,4,0,151413,0
151413,3,0,151313,0
151313,2,0,151312,0
151312,7,0,151312,0
151312,1,0,151412,0
151412,8,0,151412,0
151412,2,0,151411,0
151411,5,0,151411,0
151411,7,0,151411,0
151411,9,0,151411,0
151411,9,0,151411,0
151411,8,0,151411,0
151411,4,0,152011,0
152011,3,0,151411,0
151411,2,0,151410,0
151410,6,0,151410,0
151410,5,0,151410,0
151410,1,0,151411,0
151411,2,0,151410,0
151410,4,0,152010,0
152010,1,0,152011,0
152011,8,0,152011,0
152011,8,0,152011,0
152011,4,0,152011,0
152011,5,0,152011,0
152011,2,0,151411,0
151411,1,0,151412,0
151412,4,0,152012,0
152012,4,0,152012,0
152012,7,0,152012,0
152012,8,0,152012,0
152012,9,0,152012,0
152012,6,0,152012,0
152012,2,0,152011,0
152011,8,0,152011,0
152011,5,0,152011,0
152011,4,0,152011,0
152011,9,0,152011,0
152011,6,0,152011,0
152011,1,0,152012,0
152012,3,0,151412,0
151412,8,0,151412,0
151412,7,0,151412,0
151412,9,0,151412,0
151412,7,0,151412,0
151412,7,0,151412,0
151412,1,0,152012,0
152012,3,0,151412,0
151412,8,0,151412,0
151412,2,0,151411,0
151411,1,0,151412,0
151412,9,0,151412,0
151412,7,0,151412,0
151412,5,0,151412,0
151412,2,0,151411,0
151411,3,0,151410,0
151410,2,0,151404,0
151404,7,0,151404,0
151404,6,0,151404,0
151404,8,0,151404,0
151404,7,0,151404,0
151404,3,0,151304,0
151304,5,0,151304,0
151304,7,0,151304,0
151304,5,0,151304,0
151304,3,0,151303,0
151303,8,0,151303,0
151303,4,0,151403,0
151403,7,0,151403,0
151403,7,0,151403,0
151403,8,0,151403,0
151403,7,0,151403,0
151403,3,0,151303,0
151303,1,0,151304,0
151304,3,0,151204,0
151204,9,0,151204,0
151204,7,0,151204,0
151204,5,0,151204,0
151204,1,0,151210,0
151210,4,0,151204,0
151204,1,0,151210,0
151210,3,0,151204,0
151204,1,0,151210,0
151210,8,0,151210,0
151210,4,0,151310,0
151310,2,0,151210,0
151210,4,0,151110,0
151110,7,0,151110,0
151110,2,0,151104,0
151104,6,0,151104,0
151104,4,0,151204,0
151204,7,0,151204,0
151204,8,0,151204,0
151204,6,0,151204,0
151204,3,0,151104,0
151104,1,0,151110,0
151110,3,0,151010,0
151010,6,0,151010,0
151010,4,0,151110,0
151110,6,0,151110,0
151110,8,0,151110,0
151110,1,0,151111,0
151111,5,0,151111,0
151111,4,0,151211,0
151211,3,0,151311,0
151311,3,0,151211,0
151211,6,0,151211,0
151211,5,0,151211,0
151211,4,0,151311,0
151311,7,0,151311,0
151311,1,0,151312,0
151312,5,0,151312,0
151312,1,0,151212,0
151212,5,0,151212,0
151212,8,0,151212,0
151212,3,0,151312,0
151312,2,0,151412,0
151412,2,0,151411,0
151411,2,0,151410,0
151410,7,0,151410,0
151410,9,0,151410,0
151410,3,0,151310,0
151310,5,0,151310,0
151310,1,0,151311,0
151311,3,0,151211,0
151211,4,0,151311,0
151311,3,0,151211,0
151211,9,0,151211,0
151211,1,0,151212,0
151212,9,0,151212,0
151212,2,0,151211,0
151211,5,0,151211,0
151211,2,0,151210,0
151210,8,0,151210,0
151210,6,0,151210,0
151210,3,0,151110,0
151110,5,0,151110,0
151110,3,0,151111,0
151111,7,0,151111,0
151111,7,0,151111,0
151111,5,0,151111,0
151111,2,0,151110,0
151110,6,0,151110,0
151110,4,0,151210,0
151210,1,0,151310,0
151310,4,0,151410,0
151410,6,0,151410,0
151410,1,0,151310,0
151310,7,0,151310,0
151310,1,0,151311,0
151311,3,0,151211,0
151211,7,0,151211,0
151211,9,0,151211,0
151211,9,0,151211,0
151211,9,0,151211,0
151211,4,0,151111,0
151111,3,0,151011,0
151011,2,0,151010,0
151010,7,0,151010,0
151010,5,0,151010,0
151010,8,0,151010,0
151010,8,0,151010,0
151010,1,0,151004,0
151004,3,0,150404,0
150404,6,0,150404,0
150404,6,0,150404,0
150404,5,0,150404,0
150404,7,0,150404,0
150404,9,0,150404,0
150404,4,0,151004,0
151004,5,0,151004,0
151004,1,0,151104,0
151104,9,0,151104,0
151104,3,0,151103,0
151103,3,0,151003,0
151003,8,0,151003,0
151003,4,0,151103,0
151103,2,0,151102,0
151102,3,0,151002,0
151002,8,0,151002,0
151002,2,0,151001,0
151001,9,0,151001,0
151001,7,0,151001,0
151001,2,0,151001,0
151001,8,0,151001,0
151001,2,0,151001,0
151001,1,0,151002,0
151002,7,0,151002,0
151002,2,0,151001,0
151001,3,0,150401,0
150401,2,0,150401,0
150401,1,0,150402,0
150402,7,0,150402,0
150402,2,0,150401,0
150401,1,0,150402,0
150402,5,0,150402,0
150402,8,0,150402,0
150402,1,0,150403,0
150403,4,0,151003,0
151003,8,0,151003,0
151003,3,0,151002,0
151002,5,0,151002,0
151002,1,0,151003,0
151003,6,0,151003,0
151003,6,0,151003,0
151003,5,0,151003,0
151003,6,0,151003,0
151003,6,0,151003,0
151003,2,0,151103,0
151103,6,0,151103,0
151103,3,0,151003,0
151003,6,0,151003,0
151003,4,0,151103,0
151103,8,0,151103,0
151103,9,0,151103,0
151103,6,0,151103,0
151103,6,0,151103,0
151103,1,0,151003,0
151003,8,0,151003,0
151003,7,0,151003,0
151003,4,0,151103,0
151103,1,0,151104,0
151104,4,0,151204,0
151204,6,0,151204,0
151204,2,10,151203,0
151203,6,0,151203,0
151203,8,0,151203,0
151203,7,0,151203,0
151203,9,0,151203,0
151203,5,0,151203,0
151203,3,0,151103,0
151103,8,0,151103,0
151103,3,0,151003,0
151003,4,0,151103,0
151103,8,0,151103,0
151103,8,0,151103,0
151103,4,10,151203,0
151203,7,0,151203,0
151203,5,0,151203,0
151203,8,0,151203,0
151203,5,0,151203,0
151203,9,0,151203,0
151203,7,0,151203,0
151203,5,0,151203,0
151203,7,0,151203,0
151203,8,0,151203,0
151203,8,0,151203,0
151203,4,0,151303,0
151303,9,0,151303,0
151303,9,0,151303,0
151303,4,0,151403,0
151403,8,0,151403,0
151403,1,0,151404,0
151404,8,0,151404,0
151404,7,0,151404,0
151404,9,0,151404,0
151404,2,0,151403,0
151403,5,0,151403,0
151403,3,0,151303,0
151303,8,0,151303,0
151303,6,0,151303,0
151303,7,0,151303,0
151303,1,0,151403,0
151403,7,0,151403,0
151403,3,0,151303,0
151303,8,0,151303,0
151303,7,0,151303,0
151303,7,0,151303,0
151303,9,0,151303,0
151303,7,0,151303,0
151303,2,0,151302,0
151302,9,0,151302,0
151302,5,0,151302,0
151302,2,0,151301,0
151301,9,0,151301,0
151301,8,0,151301,0
151301,9,0,151301,0
151301,9,0,151301,0
151301,1,0,151201,0
151201,4,0,151101,0
151101,8,0,151101,0
151101,4,0,151201,0
151201,8,0,151201,0
151201,5,0,151201,0
151201,4,0,151202,0
151202,1,10,151203,0
151203,1,0,151204,0
151204,6,0,151204,0
151204,4,0,151104,0
151104,6,0,151104,0
151104,4,0,151204,0
151204,4,0,151304,0
151304,9,0,151304,0
151304,9,0,151304,0
151304,4,0,151404,0
151404,7,0,151404,0
151404,7,0,151404,0
151404,3,0,151304,0
151304,3,0,151204,0
151204,9,0,151204,0
151204,6,0,151204,0
151204,1,0,151304,0
151304,6,0,151304,0
151304,3,0,151204,0
151204,4,0,151210,0
151210,3,0,151110,0
151110,2,0,151104,0
151104,8,0,151104,0
151104,5,0,151104,0
151104,2,0,151103,0
151103,1,0,151104,0
151104,5,0,151104,0
151104,8,0,151104,0
151104,6,0,151104,0
151104,2,0,151103,0
151103,7,0,151103,0
151103,9,0,151103,0
151103,3,0,151102,0
151102,6,0,151102,0
151102,6,0,151102,0
151102,4,0,151202,0
151202,5,0,151202,0
151202,2,0,151201,0
151201,1,0,151202,0
151202,7,0,151202,0
151202,5,0,151202,0
151202,3,0,151102,0
151102,5,0,151102,0
151102,7,0,151102,0
151102,4,0,151202,0
151202,9,0,151202,0
151202,7,0,151202,0
151202,6,0,151202,0
151202,5,0,151202,0
151202,3,0,151102,0
151102,2,0,151202,0
151202,7,0,151202,0
151202,5,0,151202,0
151202,3,0,151102,0
151102,7,0,151102,0
151102,1,0,151103,0
151103,4,10,151203,0
151203,1,0,151204,0
151204,4,0,151304,0
151304,4,0,151404,0
151404,4,0,152004,0
152004,9,0,152004,0
152004,4,0,152004,0
152004,4,0,152004,0
152004,1,0,151404,0
151404,1,0,151410,0
151410,6,0,151410,0
151410,8,0,151410,0
151410,6,0,151410,0
151410,9,0,151410,0
151410,9,0,151410,0
151410,1,0,151411,0
151411,6,0,151411,0
151411,2,0,151311,0
151311,1,0,151312,0
151312,4,0,151412,0
151412,6,0,151412,0
151412,3,0,151312,0
151312,1,0,151313,0
151313,5,0,151313,0
151313,2,0,151312,0
151312,4,0,151412,0
151412,6,0,151412,0
151412,5,0,151412,0
151412,9,0,151412,0
151412,5,0,151412,0
151412,7,0,151412,0
151412,6,0,151412,0
151412,4,0,152012,0
152012,7,0,152012,0
152012,3,0,151412,0
151412,5,0,151412,0
151412,7,0,151412,0
151412,2,0,151411,0
151411,1,0,151412,0
151412,3,0,151312,0
151312,4,0,151313,0
151313,2,0,151312,0
151312,9,0,151312,0
151312,8,0,151312,0
151312,9,0,151312,0
151312,9,0,151312,0
151312,4,0,151412,0
151412,8,0,151412,0
151412,5,0,151412,0
151412,4,0,152012,0
152012,1,0,152013,0
152013,3,0,151413,0
151413,1,0,151313,0
151313,9,0,151313,0
151313,8,0,151313,0
151313,7,0,151313,0
151313,4,0,151312,0
151312,7,0,151312,0
151312,5,0,151312,0
151312,8,0,151312,0
151312,3,0,151212,0
151212,5,0,151212,0
151212,9,0,151212,0
151212,1,0,151213,0
151213,2,0,151113,0
151113,3,0,151013,0
151013,5,0,151013,0
151013,8,0,151013,0
151013,5,0,151013,0
151013,6,0,151013,0
151013,9,0,151013,0
151013,4,0,151113,0
151113,2,0,151112,0
151112,7,0,151112,0
151112,2,0,151111,0
151111,5,0,151111,0
151111,3,0,151011,0
151011,7,0,151011,0
151011,8,0,151011,0
151011,9,0,151011,0
151011,7,0,151011,0
151011,2,0,151010,0
151010,1,0,151011,0
151011,1,0,151010,0
151010,6,0,151010,0
151010,5,0,151010,0
151010,7,0,151010,0
151010,6,0,151010,0
151010,1,0,151011,0
151011,9,0,151011,0
151011,1,0,151012,0
151012,4,0,151011,0
151011,1,0,151012,0
151012,7,0,151012,0
151012,5,0,151012,0
151012,1,0,151011,0
151011,7,0,151011,0
151011,2,0,151012,0
151012,6,0,151012,0
151012,7,0,151012,0
151012,3,0,150412,0
150412,2,0,150411,0
150411,6,0,150411,0
150411,1,0,150412,0
150412,7,0,150412,0
150412,2,0,150411,0
150411,6,0,150411,0
150411,5,0,150411,0
150411,9,0,150411,0
150411,3,0,150311,0
150311,4,0,150411,0
150411,5,0,150411,0
150411,6,0,150411,0
150411,8,0,150411,0
150411,8,0,150411,0
150411,6,0,150411,0
150411,7,0,150411,0
150411,5,0,150411,0
150411,8,0,150411,0
150411,8,0,150411,0
150411,2,-5,150410,0
150410,8,0,150410,0
150410,2,0,150404,0
150404,8,0,150404,0
150404,5,0,150404,0
150404,1,-5,150410,0
150410,9,0,150410,0
150410,8,0,150410,0
150410,9,0,150410,0
150410,2,0,150404,0
150404,2,0,150403,0
150403,1,0,150404,0
150404,6,0,150404,0
150404,3,0,150304,0
150304,3,0,150204,0
150204,7,0,150204,0
150204,4,0,150304,0
150304,2,0,150303,0
150303,4,0,150203,0
150203,5,0,150203,0
150203,4,0,150303,0
150303,4,0,150403,0
150403,3,0,150303,0
150303,1,0,150302,0
150302,6,0,150302,0
150302,6,0,150302,0
150302,1,0,150303,0
150303,4,0,150403,0
150403,2,0,150303,0
150303,9,0,150303,0
150303,7,0,150303,0
150303,9,0,150303,0
150303,8,0,150303,0
150303,7,0,150303,0
150303,3,0,150203,0
150203,7,0,150203,0
150203,6,0,150203,0
150203,1,0,150204,0
150204,1,0,150210,0
150210,8,0,150210,0
150210,8,0,150210,0
150210,6,0,150210,0
150210,5,0,150210,0
150210,4,0,150310,0
150310,4,-5,150410,0
150410,2,0,150404,0
150404,5,0,150404,0
150404,5,0,150404,0
150404,5,0,150404,0
150404,6,0,150404,0
150404,2,-5,150410,0
150410,2,0,150404,0
150404,2,0,150403,0
150403,9,0,150403,0
150403,8,0,150403,0
150403,3,0,150303,0
150303,8,0,150303,0
150303,4,0,150403,0
150403,3,0,150303,0
150303,8,0,150303,0
150303,2,0,150403,0
150403,3,0,151003,0
151003,2,0,151002,0
151002,5,0,151002,0
151002,8,0,151002,0
151002,2,0,151001,0
151001,3,0,151002,0
151002,7,0,151002,0
151002,7,0,151002,0
151002,6,0,151002,0
151002,4,0,151003,0
151003,8,0,151003,0
151003,2,0,151002,0
151002,2,0,151001,0
151001,9,0,151001,0
151001,7,0,151001,0
151001,4,0,151101,0
151101,3,0,151102,0
151102,4,0,151202,0
151202,1,10,151203,0
151203,4,0,151303,0
151303,1,0,151304,0
151304,5,0,151304,0
151304,5,0,151304,0
151304,7,0,151304,0
151304,9,0,151304,0
151304,4,0,151404,0
151404,2,0,151403,0
151403,1,0,151404,0
151404,9,0,151404,0
151404,5,0,151404,0
151404,9,0,151404,0
151404,6,0,151404,0
151404,6,0,151404,0
151404,8,0,151404,0
151404,6,0,151404,0
151404,3,0,151304,0
151304,9,0,151304,0
151304,3,0,151204,0
151204,7,0,151204,0
151204,4,0,151304,0
151304,5,0,151304,0
151304,5,0,151304,0
151304,7,0,151304,0
151304,7,0,151304,0
151304,3,0,151204,0
151204,2,10,151203,0
151203,7,0,151203,0
151203,1,0,151204,0
151204,4,0,151304,0
301203,7,0,301203,1
301203,2,0,301202,1
301202,1,0,301203,1
301203,1,0,301204,1
301204,9,0,301204,1
301204,3,0,301104,1
301104,6,0,301104,1
301104,8,0,301104,1
301104,5,0,301104,1
301104,2,0,301103,1
301103,1,0,301104,1
301104,8,0,301104,1
301104,6,0,301104,1
301104,4,0,301204,1
301204,9,0,301204,1
301204,7,0,301204,1
301204,5,0,301204,1
301204,1,0,301210,1
301210,1,0,301211,1
301211,3,100,301111,1
301111,4,0,301211,1
301211,5,0,301211,1
301211,7,0,301211,1
301211,9,0,301211,1
301211,3,100,301111,1
301111,9,0,301111,1
301111,2,0,301110,1
301110,3,0,301010,1
301010,4,0,301110,1
301110,8,0,301110,1
301110,6,0,301110,1
301110,9,0,301110,1
301110,4,0,301210,1
301210,7,0,301210,1
301210,1,0,301211,1
301211,1,0,301212,1
301212,9,0,301212,1
301212,5,0,301212,1
301212,9,0,301212,1
301212,9,0,301212,1
301212,5,0,301212,1
301212,2,0,301211,1
301211,7,0,301211,1
301211,5,0,301211,1
301211,9,0,301211,1
301211,2,0,301210,1
301210,9,0,301210,1
301210,6,0,301210,1
301210,8,0,301210,1
301210,5,0,301210,1
301210,8,0,301210,1
301210,4,0,301310,1
301310,9,0,301310,1
301310,3,0,301210,1
301210,6,0,301210,1
301210,6,0,301210,1
301210,3,0,301110,1
301110,3,0,301010,1
301010,1,0,301011,1
301011,5,0,301011,1
301011,6,0,301011,1
301011,1,0,301012,1
301012,5,0,301012,1
301012,7,0,301012,1
301012,3,0,300412,1
300412,3,0,300312,1
300312,8,0,300312,1
300312,2,0,300311,1
300311,2,0,300310,1
300310,3,50,300210,1
300210,3,0,300110,1
300110,6,0,300110,1
300110,4,50,300210,1
300210,6,0,300210,1
300210,6,0,300210,1
300210,8,0,300210,1
300210,2,0,300204,1
300204,7,0,300204,1
300204,5,0,300204,1
300204,9,0,300204,1
300204,9,0,300204,1
300204,3,0,300104,1
300104,6,0,300104,1
300104,2,0,300103,1
300103,1,0,300104,1
300104,9,0,300104,1
300104,3,0,300104,1
300104,1,0,300110,1
300110,5,0,300110,1
300110,7,0,300110,1
300110,1,0,300111,1
300111,8,0,300111,1
300111,1,0,300112,1
300112,4,0,300113,1
300113,7,0,300113,1
300113,9,0,300113,1
300113,8,0,300113,1
300113,2,0,300213,1
300213,8,0,300213,1
300213,1,0,300214,1
300214,1,0,300220,1
300220,3,0,300120,1
300120,9,0,300120,1
300120,2,0,300114,1
300114,3,0,300114,1
300114,2,0,300113,1
300113,4,0,300114,1
300114,1,0,300120,1
300120,1,0,300120,1
300120,3,0,300120,1
300120,5,0,151004,1
151004,2,0,151003,1
151003,2,0,151002,1
151002,1,0,151003,1
151003,1,0,151004,1
151004,4,0,151104,1
151104,9,0,151104,1
151104,3,0,151004,1
151004,4,0,151104,1
151104,2,0,151103,1
151103,8,0,151103,1
151103,3,0,151003,1
151003,2,0,151002,1
151002,7,0,151002,1
151002,5,0,151002,1
151002,1,0,151003,1
151003,6,0,151003,1
151003,7,0,151003,1
151003,2,0,151002,1
151002,2,0,151001,1
151001,7,0,151001,1
151001,4,0,151101,1
151101,2,0,151101,1
151101,9,0,151101,1
151101,8,0,151101,1
151101,1,0,151102,1
151102,6,0,151102,1
151102,2,0,151202,1
151202,8,0,151202,1
151202,8,0,151202,1
151202,4,0,151302,1
151302,3,0,151202,1
151202,3,0,151102,1
151102,5,0,151102,1
151102,2,0,151101,1
151101,9,0,151101,1
151101,3,0,151001,1
151001,2,0,151001,1
151001,4,0,151101,1
151101,9,0,151101,1
151101,2,0,151101,1
151101,1,0,151102,1
151102,9,0,151102,1
151102,8,0,151102,1
151102,8,0,151102,1
151102,8,0,151102,1
151102,2,0,151101,1
151101,4,0,151001,1
151001,6,0,151001,1
151001,7,0,151001,1
151001,1,0,151002,1
151002,4,0,151102,1
151102,7,0,151102,1
